abnormal adipose tissue morphology|adipose tissue phenotype
increased brown adipose tissue amount|abnormal brown adipose tissue amount
increased white adipose tissue amount|abnormal white adipose tissue amount
abnormal abdominal fat pad morphology|abnormal fat pad morphology
abnormal adipose tissue distribution|abnormal adipose tissue morphology
abnormal ear pigmentation|abnormal outer ear morphology
abnormal ear pigmentation|abnormal skin pigmentation
big ears|abnormal outer ear morphology
small ears|abnormal outer ear morphology
thick ears|abnormal outer ear morphology
scaly ears|abnormal outer ear morphology
prominent ears|abnormal ear position
abnormal ear shape|abnormal outer ear morphology
abnormal ear position|abnormal outer ear morphology
lowered ear position|abnormal ear position
otic hypertelorism|abnormal ear position
abnormal inner ear morphology|abnormal ear morphology
abnormal pars superior vestibularis morphology|abnormal inner ear morphology
abnormal pars superior vestibularis morphology|abnormal vestibular ganglion morphology
abnormal malleus morphology|abnormal middle ear ossicle morphology
abnormal tympanic ring morphology|abnormal middle ear morphology
abnormal cochlea morphology|abnormal inner ear morphology
cochlear degeneration|abnormal cochlea morphology
absent scala media|abnormal scala media morphology
abnormal inner ear vestibule morphology|abnormal inner ear morphology
abnormal membranous labyrinth morphology|abnormal inner ear morphology
absent semicircular canals|abnormal semicircular canal morphology
abnormal lateral semicircular canal morphology|abnormal semicircular canal morphology
abnormal otic capsule morphology|abnormal inner ear morphology
absent middle ear ossicles|abnormal middle ear ossicle morphology
absent endolymphatic duct|abnormal endolymphatic duct morphology
abnormal organ of corti morphology|abnormal scala media morphology
organ of corti degeneration|abnormal organ of corti morphology
organ of corti degeneration|cochlear degeneration
absent organ of corti|abnormal organ of corti morphology
abnormal hair cell morphology|abnormal inner ear morphology
abnormal hair cell morphology|abnormal mechanoreceptor morphology
abnormal sulcus ampullaris morphology|abnormal inner ear morphology
abnormal stria vascularis morphology|abnormal scala media morphology
abnormal middle ear morphology|abnormal ear morphology
early ear unfolding|abnormal outer ear morphology
excessive ear growth|abnormal outer ear morphology
delayed ear emergence|abnormal outer ear morphology
delayed bone ossification|abnormal bone ossification
fragile skeleton|abnormal bone strength
increased bone mineral density|abnormal bone mineral density
decreased bone mineral density|abnormal bone mineral density
failure of secondary bone resorption|abnormal bone resorption
abnormal bone marrow cavity morphology|abnormal bone structure
osteoporosis|decreased bone mass
osteopetrosis|increased bone mass
kyphoscoliosis|abnormal spine curvature
axial skeleton hypoplasia|abnormal axial skeleton morphology
absent craniofacial bones|abnormal craniofacial bone morphology
abnormal neurocranium morphology|abnormal cranium morphology
absent neurocranium|abnormal neurocranium morphology
abnormal interparietal bone morphology|abnormal neurocranium morphology
abnormal supraoccipital bone morphology|abnormal occipital bone morphology
abnormal basioccipital bone morphology|abnormal occipital bone morphology
abnormal basioccipital bone morphology|abnormal basicranium morphology
abnormal exoccipital bone morphology|abnormal occipital bone morphology
premature suture closure|premature intramembranous bone ossification
overlapping parietal bones|abnormal neurocranium morphology
ectopic cranial bone growth|ectopic bone formation
ectopic cranial bone growth|abnormal neurocranium morphology
abnormal fontanelle morphology|abnormal neurocranium morphology
abnormal fontanelle morphology|abnormal skeleton development
large anterior fontanelle|abnormal fontanelle morphology
absent mandible|abnormal mandible morphology
short mandible|small mandible
absent premaxilla|abnormal premaxilla morphology
short premaxilla|small premaxilla
absent alveolar process|abnormal alveolar process morphology
short maxilla|small maxilla
abnormal vomer bone morphology|abnormal viscerocranium morphology
absent vomer bone|abnormal vomer bone morphology
abnormal ethmoidal bone morphology|abnormal viscerocranium morphology
absent ethmoidal bone|abnormal ethmoidal bone morphology
abnormal nasal bone morphology|abnormal viscerocranium morphology
nasal bone hypoplasia|small nasal bone
abnormal sphenoid bone morphology|abnormal neurocranium morphology
impaired ossification of basisphenoid bone|abnormal basisphenoid bone morphology
impaired ossification of basisphenoid bone|abnormal intramembranous bone ossification
abnormal basisphenoid bone morphology|abnormal sphenoid bone morphology
abnormal basisphenoid bone morphology|abnormal basicranium morphology
abnormal frontal bone morphology|abnormal viscerocranium morphology
abnormal frontal bone morphology|abnormal neurocranium morphology
midline facial cleft|facial cleft
abnormal parietal bone morphology|abnormal neurocranium morphology
cleft palate|abnormal palate morphology
cleft chin|abnormal mandible morphology
abnormal tooth development|abnormal tooth morphology
abnormal tooth development|abnormal craniofacial development
absent tooth primordium|abnormal tooth development
arrest of tooth development|abnormal tooth development
abnormal tooth eruption|abnormal tooth morphology
malocclusion|abnormal cranium morphology
failure of tooth eruption|abnormal tooth eruption
premature tooth eruption|abnormal tooth eruption
absent teeth|abnormal tooth morphology
absent incisors|abnormal incisor morphology
brittle teeth|abnormal tooth morphology
degenerate molars|abnormal molar morphology
growth retardation of molars|abnormal tooth development
ameloblast degeneration|abnormal ameloblast morphology
abnormal trabecular bone morphology|abnormal bone structure
abnormal long bone epiphysis morphology|abnormal long bone morphology
abnormal long bone epiphysis morphology|abnormal skeleton development
thickened long bone epiphysis|abnormal long bone epiphysis morphology
abnormal long bone metaphysis morphology|abnormal long bone morphology
abnormal compact bone thickness|abnormal compact bone morphology
decreased compact bone thickness|abnormal compact bone thickness
abnormal microglial cell morphology|abnormal macrophage morphology
abnormal microglial cell morphology|abnormal cns glial cell morphology
